telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Kosd,157,87,84,55.41,53.5,76,6,,,,,2,,,,,,,,86,54.78,6,,1,,3,75,Falu
Kóspallag,1154,768,762,66.55,66.03,473,255,,12,7,15,,,,,,,,,764,66.2,236,6,9,9,46,458,Falu
Kótaj,632,452,434,71.52,68.67,301,81,7,3,,2,40,,,,,,,,436,68.99,84,1,4,2,36,309,Falu
Kovácshida,1989,1460,1452,73.4,73,940,359,44,9,2,5,93,,,,,,,,1452,73,352,5,51,9,101,932,Falu
Kovácsvágás,593,436,428,73.52,72.18,271,89,14,1,1,2,50,,,,,,,,433,73.02,100,1,13,3,56,256,Falu
Kovácsszénája,1306,926,919,70.9,70.37,498,284,33,12,3,13,76,,,,,,,,918,70.29,269,9,37,12,92,498,Falu
Kozárd,8982,6473,6387,72.07,71.11,3969,1694,147,64,,36,477,,,,,,,,6414,71.41,1857,50,194,65,393,3821,Kisváros
Kozármisleny,215,170,167,79.07,77.67,106,37,10,3,,1,10,,,,,,,,166,77.21,33,3,12,3,9,106,Falu
Kozmadombja,148,111,110,75,74.32,80,23,2,,,,5,,,,,,,,108,72.97,23,,3,,6,76,Falu
Köblény,439,330,314,75.17,71.53,180,90,6,3,,,35,,,,,,,,321,73.12,89,1,11,3,34,182,Falu
Köcsk,439,330,314,75.17,71.53,180,90,6,3,,,35,,,,,,,,321,73.12,89,1,11,3,34,182,Falu
Kökény,3596,2116,2088,58.84,58.06,1330,575,,21,,55,89,18,,,,,,,2092,58.18,572,37,40,22,81,1337,Falu
Kőkút,1185,727,713,61.35,60.17,521,139,6,4,3,,40,,,,,,,,717,60.51,134,1,8,8,48,518,Falu
Kölcse,197,132,130,67.01,65.99,92,28,4,,,,4,2,,,,,,,130,65.99,29,3,3,,3,92,Falu
Kölesd,50,43,41,86,82,25,11,2,,,,3,,,,,,,,40,80,11,,1,,2,26,Falu
Kölked,454,261,260,57.49,57.27,214,34,3,,,,9,,,,,,,,260,57.27,36,1,,,7,216,Falu
Kömlő,549,379,372,69.03,67.76,215,144,6,3,,,,4,,,,,,,373,67.94,125,1,13,3,24,207,Falu
Kömlőd,1075,683,673,63.53,62.6,370,228,27,6,8,3,26,5,,,,,,,666,61.95,225,4,31,2,20,381,Falu
Kömörő,265,176,172,66.42,64.91,111,46,5,1,,,9,,,,,,,,174,65.66,47,2,3,1,9,112,Falu
Kömpöc,142,114,112,80.28,78.87,79,22,1,,,1,9,,,,,,,,112,78.87,19,1,1,,10,81,Falu
Körmend,4950,3787,3737,76.51,75.49,1707,1499,143,66,28,30,200,64,,,,,,,3753,75.82,1502,29,175,59,222,1678,Kisváros
Környe,25,24,23,96,92,21,,1,,,,1,,,,,,,,24,96,,,2,,1,21,Falu
Köröm,168,99,95,58.93,56.55,64,18,,5,1,,7,,,,,,,,96,57.14,23,,1,4,5,63,Falu
Kőröshegy,218,157,153,72.02,70.18,114,26,,,,,13,,,,,,,,153,70.18,27,,,,12,114,Falu
Körösladány,538,387,386,71.93,71.75,176,133,26,3,,5,26,17,,,,,,,386,71.75,142,5,21,3,30,159,Falu
Körösnagyharsány,1033,660,650,63.89,62.92,462,139,,7,,5,36,,,1,,,,,653,63.21,143,1,6,7,32,464,Falu
Köröstarcsa,1113,688,681,61.81,61.19,487,159,,7,,3,25,,,,,,,,680,61.1,155,1,13,6,27,478,Falu
Kőröstetétlen,776,442,434,56.96,55.93,320,86,,3,3,,22,,,,,,,,439,56.57,73,3,4,4,22,322,Falu
Körösújfalu,1339,814,789,60.79,58.92,651,112,4,6,,1,15,,,,,,,,804,60.04,105,5,5,6,11,671,Falu
Körösszakál,832,594,587,71.39,70.55,309,205,12,6,,4,51,,,,,,,,591,71.03,194,5,13,7,54,316,Falu
Körösszegapáti,446,276,267,61.88,59.87,180,68,,1,,,7,,,11,,,,,275,61.66,62,,,1,8,204,Falu
Kőszárhegy,549,396,390,72.13,71.04,299,57,8,4,,,22,,,,,,,,393,71.58,61,3,7,3,23,296,Falu
Kőszeg,10057,7791,7660,77.47,76.17,4674,2502,,95,,,389,,,,,,,,7700,76.56,2238,41,215,52,438,4711,Kisváros
Kőszegdoroszló,3752,2610,2591,69.56,69.06,1288,925,69,43,,40,226,,,,,,,,2587,68.95,882,41,83,32,242,1263,Falu
Kőszegpaty,862,465,441,53.94,51.16,390,38,1,2,2,2,4,2,,,,,,,445,51.62,47,5,1,2,7,383,Falu
Kőszegszerdahely,3363,2070,2046,61.55,60.84,1350,466,28,15,,10,177,,,,,,,,2042,60.72,456,11,36,14,179,1346,Falu
Kőszegszerdahely,448,265,260,59.15,58.04,183,54,3,5,4,1,10,,,,,,,,259,57.81,54,3,3,3,9,187,Falu
Kötcse,1934,1222,1210,63.19,62.56,793,285,21,10,,7,94,,,,,,,,1213,62.72,302,5,24,13,103,765,Falu
Kötegyán,357,197,195,55.18,54.62,163,21,3,1,,,7,,,,,,,,194,54.34,22,1,3,,9,159,Falu
Kőtelek,588,353,339,60.03,57.65,212,66,,3,,3,15,40,,,,,,,345,58.67,75,1,4,1,15,245,Falu
Kővágóörs,770,490,485,63.64,62.99,315,103,,1,1,4,33,28,,,,,,,484,62.86,99,3,4,1,36,314,Falu
Kővágószőlős,395,265,260,67.09,65.82,177,73,,1,4,5,,,,,,,,,264,66.84,69,2,9,1,10,173,Falu
Kővágótöttös,1101,650,638,59.04,57.95,443,129,10,7,3,5,41,,,,,,,,647,58.76,119,10,12,7,51,447,Falu
Kövegy,295,208,205,70.51,69.49,138,53,3,1,,,10,,,,,,,,206,69.83,49,3,4,1,11,138,Falu
Köveskál,284,221,215,77.82,75.7,138,55,4,5,,1,12,,,,,,,,216,76.06,59,1,6,2,13,135,Falu
Krasznokvajda,339,220,219,64.9,64.6,171,40,1,,,1,4,,,2,,,,,216,63.72,42,1,2,,5,166,Falu
Kulcs,2749,1901,1886,69.15,68.61,897,750,63,38,2,15,121,,,,,,,,1880,68.39,728,12,73,31,141,895,Falu
Kunadacs,1152,704,689,61.11,59.81,542,98,2,,,4,43,,,,,,,,693,60.16,108,7,7,5,44,522,Falu
Kunágota,2037,1143,1103,56.11,54.15,698,323,7,2,,5,57,11,,,,,,,1122,55.08,282,6,11,,76,744,Falu
Kunbaja,1177,694,683,58.96,58.03,445,190,,2,,,46,,,,,,,,685,58.2,199,,10,1,36,408,Falu
Kunbaracs,522,342,341,65.52,65.33,250,58,15,,,6,12,,,,,,,,338,64.75,60,4,16,3,11,244,Falu
Kuncsorba,460,321,316,69.78,68.7,207,70,3,,,3,33,,,,,,,,321,69.78,53,1,4,2,44,217,Falu
Kunfehértó,1822,1233,1223,67.67,67.12,663,401,,21,,,138,,,,,,,,1226,67.29,404,11,55,10,128,618,Falu
Kunhegyes,5929,3449,3386,58.17,57.11,2281,853,,30,13,,209,,,,,,,,3397,57.29,810,24,51,18,213,2281,Kisváros
Kunmadaras,3862,2162,2114,55.98,54.74,1548,441,,20,10,,95,,,,,,,,2130,55.15,426,9,19,13,115,1548,Kisváros
Kunpeszér,575,401,393,69.74,68.35,272,80,5,,,1,35,,,,,,,,394,68.52,88,4,7,1,33,260,Falu
Kunszállás,1367,1000,990,73.15,72.42,656,220,21,11,,,82,,,,,,,,992,72.57,249,7,26,7,89,614,Falu
Kunszentmárton,6330,3930,3862,62.09,61.01,2008,1438,78,,15,26,297,,,,,,,,3870,61.14,1305,26,92,25,301,2118,Kisváros
Kunszentmiklós,6522,4548,4475,69.73,68.61,3253,829,102,,,21,270,,,,,,,,4497,68.95,844,27,96,36,295,3197,Kisváros
Kunsziget,1046,797,790,76.2,75.53,456,217,36,10,,8,63,,,,,,,,793,75.81,230,9,34,11,62,447,Falu
Kup,343,228,225,66.47,65.6,134,74,3,2,,,12,,,,,,,,225,65.6,60,1,6,5,18,117,Falu
Kupa,129,87,86,67.44,66.67,77,5,,,1,,3,,,,,,,,85,65.89,5,,,,1,79,Falu
Kurd,868,489,477,56.34,54.95,286,95,,8,,5,83,,,,,,,,475,54.72,94,5,6,,71,274,Falu
Kurityán,1162,745,721,64.11,62.05,348,171,10,4,,3,30,155,,,,,,,731,62.91,233,13,15,6,51,413,Falu
Kustánszeg,389,269,268,69.15,68.89,185,63,2,2,,,14,2,,,,,,,269,69.15,65,,4,3,13,184,Falu
Kutas,1034,605,588,58.51,56.87,386,171,,2,,,29,,,,,,,,593,57.35,147,,8,5,35,398,Falu
Kutasó,81,54,51,66.67,62.96,28,22,,,,,1,,,,,,,,53,65.43,21,,,,1,31,Falu
Kübekháza,1217,746,732,61.3,60.15,346,261,31,13,,5,63,13,,,,,,,738,60.64,285,9,20,13,52,359,Falu
Külsősárd,58,42,38,72.41,65.52,28,10,,,,,,,,,,,,,41,70.69,11,,1,,,29,Falu
Külsővat,568,384,366,67.61,64.44,233,96,6,5,,,26,,,,,,,,371,65.32,93,5,4,6,23,240,Falu
Küngös,414,273,268,65.94,64.73,155,81,10,3,,,19,,,,,,,,270,65.22,81,2,9,1,18,159,Falu
Lábatlan,3961,2563,2524,64.71,63.72,1306,917,60,,,37,163,41,,,,,,,2542,64.18,865,37,77,22,182,1355,Kisváros
Lábod,1440,913,889,63.4,61.74,522,337,,8,,,22,,,,,,,,895,62.15,263,7,15,7,35,567,Falu
Lácacséke,200,83,83,41.5,41.5,73,8,1,,,,1,,,,,,,,81,40.5,10,,1,,2,68,Falu
Lad,472,247,246,52.33,52.12,162,79,,,,,5,,,,,,,,245,51.91,74,1,1,2,4,163,Falu
Ladánybene,1371,870,850,63.46,62,610,163,20,,,3,54,,,,,,,,856,62.44,171,3,22,8,54,598,Falu
Ládbesenyő,208,146,144,70.19,69.23,100,29,2,,,,13,,,,,,,,146,70.19,28,,3,1,11,103,Falu
Lajoskomárom,1760,1150,1137,65.34,64.6,689,301,33,2,,8,104,,,,,,,,1136,64.55,305,9,31,2,107,681,Falu
Lajosmizse,9046,5867,5772,64.86,63.81,3810,1230,163,,,46,523,,,,,,,,5787,63.97,1223,48,160,42,518,3796,Kisváros
Lak,447,327,323,73.15,72.26,294,19,1,1,1,,7,,,,,,,,322,72.04,19,,1,,8,294,Falu
Lakhegy,381,300,293,78.74,76.9,209,59,12,,,4,9,,,,,,,,299,78.48,58,1,12,5,12,211,Falu
Lakitelek,3832,2583,2552,67.41,66.6,1696,608,78,36,,,134,,,,,,,,2565,66.94,631,17,96,33,163,1624,Kisváros
Lakócsa,412,215,214,52.18,51.94,155,53,,1,,,5,,,,,,,,211,51.21,38,3,,1,8,129,Falu
Lánycsók,1988,1354,1336,68.11,67.2,825,343,,30,5,,133,,,,,,,,1339,67.35,311,13,18,16,123,770,Falu
Lápafő,110,66,64,60,58.18,42,13,,2,,,7,,,,,,,,64,58.18,17,,,,3,44,Falu
Lapáncsa,136,96,94,70.59,69.12,84,7,,1,,,2,,,,,,,,96,70.59,7,,2,,2,84,Falu
Laskod,753,464,458,61.62,60.82,287,131,,5,,8,27,,,,,,,,461,61.22,129,5,6,3,25,293,Falu
Lasztonya,47,29,29,61.7,61.7,16,6,1,2,,1,3,,,,,,,,29,61.7,10,1,,,3,15,Falu
Látrány,1128,782,770,69.33,68.26,494,212,,7,,,57,,,,,,,,769,68.17,196,9,14,8,45,497,Falu
Lázi,434,269,266,61.98,61.29,174,73,,2,,2,15,,,,,,,,267,61.52,74,3,14,1,21,154,Falu
Leányfalu,3037,2424,2390,79.82,78.7,1225,889,137,29,8,7,95,,,,,,,,2402,79.09,921,13,156,33,114,1162,Falu
Leányvár,1429,1012,1002,70.82,70.12,490,395,33,,,9,58,17,,,,,,,998,69.84,330,7,58,7,77,466,Falu
Lébény,2513,1798,1777,71.55,70.71,1155,456,48,14,,21,83,,,,,,,,1780,70.83,453,19,52,16,85,1097,Falu
Legénd,377,243,237,64.46,62.86,172,42,5,2,,1,15,,,,,,,,239,63.4,40,,6,2,14,177,Falu
Legyesbénye,1142,722,706,63.22,61.82,429,252,,4,4,6,,11,,,,,,,712,62.35,220,7,9,8,50,418,Falu
Léh,330,231,227,70,68.79,178,37,2,,,,9,,,,1,,,,227,68.79,36,,2,,11,178,Falu
Lénárddaróc,223,158,158,70.85,70.85,104,44,3,,,1,1,5,,,,,,,156,69.96,42,1,5,,4,104,Falu
Lendvadedes,24,20,19,83.33,79.17,14,5,,,,,,,,,,,,,20,83.33,5,,,,,15,Falu
Lendvajakabfa,33,27,26,81.82,78.79,16,4,1,,,,5,,,,,,,,24,72.73,3,,2,,1,14,Falu
Lengyel,398,254,254,63.82,63.82,152,84,,4,,,14,,,,,,,,254,63.82,79,,1,1,18,140,Falu
Lengyeltóti,2278,1475,1452,64.75,63.74,824,419,,12,,,197,,,,,,,,1466,64.35,398,10,12,7,134,903,Falu
Lenti,6055,4675,4605,77.21,76.05,2740,1445,83,44,,19,237,33,,4,,,,,4634,76.53,1442,32,94,43,274,2749,Kisváros
Lepsény,2468,1565,1545,63.41,62.6,964,318,34,8,,11,210,,,,,,,,1549,62.76,342,12,38,12,162,983,Falu
Lesencefalu,243,164,158,67.49,65.02,88,56,7,1,,,,6,,,,,,,161,66.26,39,2,12,,14,94,Falu
Lesenceistvánd,778,529,514,67.99,66.07,310,186,6,3,,,,9,,,,,,,515,66.2,129,2,8,4,50,322,Falu
Lesencetomaj,728,456,451,62.64,61.95,273,165,5,1,,,,7,,,,,,,451,61.95,125,7,7,3,22,287,Falu
Létavértes,5652,3117,3077,55.15,54.44,2119,785,,28,3,20,118,,,,,,4,,3085,54.58,768,15,30,24,122,2121,Kisváros
Letenye,3223,2106,2072,65.34,64.29,1195,685,24,20,6,11,131,,,,,,,,2083,64.63,629,9,33,20,163,1227,Falu
Letkés,876,657,646,75,73.74,420,143,10,3,4,3,63,,,,,,,,653,74.54,134,6,12,4,67,429,Falu
Levél,1549,1037,1019,66.95,65.78,625,267,25,24,,5,73,,,,,,,,1020,65.85,270,10,29,14,69,584,Falu
Levelek,2302,1355,1326,58.86,57.6,837,301,,29,,23,136,,,,,,,,1337,58.08,317,16,20,15,94,875,Falu
Libickozma,28,24,24,85.71,85.71,14,10,,,,,,,,,,,,,24,85.71,9,,,1,,14,Falu
Lickóvadamos,152,114,111,75,73.03,78,22,2,1,,2,4,1,,1,,,,,111,73.03,25,1,3,,6,76,Falu
Liget,299,193,189,64.55,63.21,96,65,10,3,,,13,2,,,,,,,192,64.21,62,2,10,4,16,98,Falu
Ligetfalva,47,37,37,78.72,78.72,28,6,1,,,,2,,,,,,,,36,76.6,6,,1,,3,26,Falu
Lipót,615,472,463,76.75,75.28,296,123,11,10,,2,21,,,,,,,,460,74.8,120,2,15,14,21,288,Falu
Lippó,397,258,255,64.99,64.23,157,64,,7,2,,25,,,,,,,,254,63.98,55,1,5,1,14,103,Falu
Liptód,145,92,89,63.45,61.38,60,15,,3,,,11,,,,,,,,89,61.38,9,,,,6,37,Falu
Lispeszentadorján,215,134,130,62.33,60.47,74,44,3,2,,3,4,,,,,,,,132,61.4,45,2,2,3,6,74,Falu
Liszó,309,215,213,69.58,68.93,110,72,5,4,,10,12,,,,,,,,213,68.93,72,7,4,5,15,110,Falu
Litér,1724,1274,1263,73.9,73.26,657,436,38,20,,16,96,,,,,,,,1263,73.26,454,11,43,18,99,638,Falu
Litér,1724,1274,1263,73.9,73.26,657,436,38,20,,16,96,,,,,,,,1263,73.26,454,11,43,18,99,638,Falu
Litka,35,22,22,62.86,62.86,17,4,1,,,,,,,,,,,,22,62.86,5,,,,2,15,Falu
Litke,582,383,376,65.81,64.6,288,55,7,2,1,3,20,,,,,,,,377,64.78,58,2,4,2,18,293,Falu
Lócs,90,72,70,80,77.78,46,14,1,1,,,8,,,,,,,,70,77.78,14,1,1,1,10,43,Falu
Lókút,1313,847,827,64.51,62.99,455,298,13,1,1,2,47,10,,,,,,,830,63.21,256,7,18,4,51,484,Falu
Lónya,363,255,254,70.25,69.97,177,48,5,2,,,22,,,,,,,,253,69.7,48,1,5,,23,138,Falu
Lórév,687,356,348,51.82,50.66,293,44,,1,,,10,,,,,,,,348,50.66,37,1,6,2,8,294,Falu
Lothárd,245,177,175,72.24,71.43,116,48,1,3,1,2,4,,,,,,,,163,66.53,43,,,3,5,75,Falu
Lovas,4359,2786,2750,63.91,63.09,1602,755,,59,18,,316,,,,,,,,2759,63.29,778,36,68,37,274,1566,Kisváros
Lovasberény,196,132,131,67.35,66.84,71,40,8,2,2,,7,1,,,,,,,131,66.84,45,1,7,1,10,63,Falu
Lovászhetény,395,317,312,80.25,78.99,184,102,6,2,,5,13,,,,,,,,315,79.75,101,6,9,1,21,177,Falu
Lovászi,2145,1544,1526,71.98,71.14,939,384,42,23,1,,137,,,,,,,,1525,71.1,401,10,55,16,130,913,Falu
Lovászpatona,224,128,127,57.14,56.7,81,33,,1,1,,11,,,,,,,,128,57.14,33,1,2,1,12,79,Falu
Lőkösháza,928,606,597,65.3,64.33,308,230,14,9,4,6,26,,,,,,,,602,64.87,226,4,13,5,35,319,Falu
Lőrinci,942,611,599,64.86,63.59,470,90,3,3,,,33,,,,,,,,603,64.01,87,,4,2,31,479,Falu
Lövő,1159,877,857,75.67,73.94,529,247,,10,,,71,,,,,,,,866,74.72,247,4,27,4,66,518,Falu
Lövőpetri,386,272,268,70.47,69.43,199,41,,,,,28,,,,,,,,271,70.21,43,,4,,27,197,Falu
Lucfalva,467,333,318,71.31,68.09,244,54,1,1,,,18,,,,,,,,321,68.74,50,,2,2,15,250,Falu
Ludányhalászi,1011,516,507,51.04,50.15,335,98,10,8,3,5,48,,,,,,,,512,50.64,117,4,13,6,23,349,Falu
Ludas,590,402,395,68.14,66.95,251,101,,2,6,,35,,,,,,,,396,67.12,94,2,11,,28,261,Falu
Lukácsháza,871,686,675,78.76,77.5,443,166,18,8,,5,35,,,,,,,,675,77.5,175,6,25,7,29,433,Falu
Lulla,172,126,118,73.26,68.6,90,25,,1,2,,,,,,,,,,120,69.77,26,1,3,,5,85,Falu
Lúzsok,156,89,87,57.05,55.77,75,10,,,,,1,1,,,,,,,88,56.41,10,1,,,,77,Falu
Mád,1638,1179,1175,71.98,71.73,655,467,,13,3,21,,16,,,,,,,1174,71.67,433,18,16,12,62,633,Falu
Madaras,2238,1230,1204,54.96,53.8,729,344,19,12,,,100,,,,,,,,1216,54.33,326,7,25,10,106,741,Falu
Madocsa,1510,1114,1100,73.77,72.85,783,215,,8,,16,78,,,,,,,,1101,72.91,204,13,33,5,76,769,Falu
Maglóca,84,55,53,65.48,63.1,42,8,,1,,,2,,,,,,,,52,61.9,9,,1,1,2,39,Falu
Maglód,9777,7242,7158,74.07,73.21,3471,2646,327,171,,56,487,,,,,,,,7161,73.24,2703,42,309,133,471,3498,Kisváros
Mágocs,1816,1167,1152,64.26,63.44,640,432,,19,4,,57,,,,,,,,1154,63.55,399,13,27,8,60,620,Falu
Magosliget,226,159,159,70.35,70.35,148,11,,,,,,,,,,,,,159,70.35,12,,,,,147,Falu
Magy,657,433,426,65.91,64.84,320,66,,6,,3,31,,,,,,,,429,65.3,78,4,5,5,22,315,Falu
Magyaralmás,1273,1027,1010,80.68,79.34,624,270,32,11,2,8,63,,,,,,,,1013,79.58,275,7,35,13,69,612,Falu
Magyaratád,652,446,439,68.4,67.33,292,127,,12,4,4,,,,,,,,,442,67.79,114,2,9,9,37,271,Falu
Magyarbánhegyes,1558,887,865,56.93,55.52,525,282,6,6,,2,37,7,,,,,,,863,55.39,245,2,7,2,60,545,Falu
Magyarbóly,735,464,462,63.13,62.86,338,93,,3,1,,27,,,,,,,,460,62.59,81,1,12,1,27,318,Falu
Magyarcsanád,1019,635,625,62.32,61.33,462,112,,7,4,,40,,,,,,,,624,61.24,110,3,5,2,45,451,Falu
Magyardombegyház,161,89,89,55.28,55.28,61,19,2,,,2,5,,,,,,,,88,54.66,17,3,2,,5,61,Falu
Magyaregregy,568,391,385,68.84,67.78,204,124,,22,2,,33,,,,,,,,385,67.78,114,2,11,10,36,188,Falu
Magyaregres,471,321,316,68.15,67.09,177,102,,8,,,29,,,,,,,,319,67.73,96,1,9,8,28,177,Falu
Magyarföld,39,30,30,76.92,76.92,16,10,,,,,4,,,,,,,,30,76.92,9,,1,,4,16,Falu
Magyargéc,599,420,411,70.12,68.61,299,71,9,5,3,,24,,,,,,,,418,69.78,76,2,7,4,22,307,Falu
Magyargencs,395,258,253,65.32,64.05,160,67,3,,,,23,,,,,,,,254,64.3,60,2,4,1,28,159,Falu
Magyarhertelend,500,349,346,69.8,69.2,164,146,3,5,,,24,4,,,,,,,349,69.8,130,,6,7,17,157,Falu
Magyarhomorog,680,408,405,60,59.56,219,76,,3,,4,34,69,,,,,,,407,59.85,93,3,2,1,44,264,Falu
Magyarkeresztúr,357,266,260,74.51,72.83,203,46,,,,,11,,,,,,,,262,73.39,46,1,5,,19,191,Falu
Magyarkeszi,795,413,410,51.95,51.57,276,95,,7,,3,29,,,,,,,,411,51.7,93,4,13,3,21,277,Falu
Magyarlak,639,493,485,77.15,75.9,345,119,,5,,,16,,,,,,,,491,76.84,99,4,8,5,23,352,Falu
Magyarlukafa,65,45,45,69.23,69.23,32,7,3,1,,,2,,,,,,,,45,69.23,7,,3,1,2,32,Falu
Magyarmecske,230,158,157,68.7,68.26,120,31,,,,,4,2,,,,,,,158,68.7,31,,,,5,122,Falu
Magyarnádalja,217,182,181,83.87,83.41,133,38,,3,,,7,,,,,,,,182,83.87,33,,8,2,11,128,Falu
Magyarnándor,896,642,634,71.65,70.76,321,127,7,1,6,4,168,,,,,,,,638,71.21,157,3,7,6,81,384,Falu
Magyarpolány,1096,775,764,70.71,69.71,406,283,31,5,,,39,,,,,,,,749,68.34,238,5,30,2,31,330,Falu
Magyarsarlós,243,178,176,73.25,72.43,110,33,3,1,1,,24,4,,,,,,,176,72.43,35,1,3,1,25,109,Falu
Magyarszecsőd,347,274,268,78.96,77.23,200,49,,3,,,16,,,,,,,,270,77.81,44,1,2,3,16,204,Falu
Magyarszék,814,571,558,70.15,68.55,286,193,14,6,,,49,10,,,,,,,561,68.92,184,4,15,3,43,282,Falu
Magyarszentmiklós,209,154,153,73.68,73.21,86,46,3,1,2,4,11,,,,,,,,153,73.21,47,1,6,1,9,85,Falu
Magyarszerdahely,364,253,252,69.51,69.23,160,65,5,2,,6,14,,,,,,,,253,69.51,58,5,4,2,19,165,Falu
Magyarszombatfa,209,165,164,78.95,78.47,110,43,,,,,11,,,,,,,,164,78.47,34,,7,,12,111,Falu
Magyartelek,152,103,102,67.76,67.11,69,16,6,1,,,3,7,,,,,,,103,67.76,19,,5,,6,73,Falu
Majosháza,1356,964,953,71.09,70.28,557,314,16,14,,12,34,6,,,,,,,951,70.13,306,13,16,13,39,559,Falu
Majs,741,484,479,65.32,64.64,279,138,,13,1,,48,,,,,,,,473,63.83,118,7,5,7,50,263,Falu
Makád,1031,662,656,64.21,63.63,483,119,9,8,1,4,32,,,,,,,,658,63.82,125,6,9,5,35,478,Falu
Makkoshotyka,634,366,361,57.73,56.94,295,49,2,1,1,1,10,2,,,,,,,363,57.26,36,3,3,,7,313,Falu
Maklár,1971,1388,1371,70.42,69.56,718,478,49,14,,13,99,,,,,,,,1381,70.07,473,17,57,15,100,718,Falu
Makó,18157,12814,12590,70.57,69.34,6958,4386,217,123,38,,868,,,,,,,,12605,69.42,4321,104,296,142,1081,6645,Középváros
Malomsok,424,336,333,79.25,78.54,253,61,6,5,,,8,,,,,,,,335,79.01,50,3,12,2,14,253,Falu
Mályi,3379,2362,2333,69.9,69.04,1136,909,51,34,2,18,144,39,,,,,,,2333,69.04,955,15,57,34,164,1107,Falu
Mályinka,380,264,259,69.47,68.16,155,79,6,1,,,18,,,,,,,,257,67.63,73,1,12,1,19,151,Falu
Mánd,233,136,136,58.37,58.37,90,40,,,,1,4,,,1,,,,,136,58.37,30,2,3,2,4,95,Falu
Mándok,3079,1776,1744,57.68,56.64,1062,594,,14,,5,61,,,8,,,,,1747,56.74,556,16,12,19,74,1069,Falu
Mánfa,636,425,419,66.82,65.88,189,170,22,1,5,2,22,8,,,,,,,421,66.19,175,2,19,3,28,193,Falu
Mány,1904,1328,1306,69.75,68.59,901,296,32,17,3,,57,,,,,,,,1306,68.59,259,2,32,15,56,758,Falu
Maráza,153,89,87,58.17,56.86,58,21,,5,1,,2,,,,,,,,84,54.9,17,1,2,1,4,34,Falu
Marcalgergelyi,314,213,210,67.83,66.88,169,32,2,,,,7,,,,,,,,211,67.2,28,2,3,2,10,166,Falu
Marcali,11100,8031,7941,72.35,71.54,3718,3761,,67,,,395,,,,,,,,7966,71.77,3112,34,201,75,496,4043,Kisváros
Marcaltő,615,436,433,70.89,70.41,277,111,5,1,,,39,,,,,,,,434,70.57,107,,9,2,40,276,Falu
Márfa,149,107,106,71.81,71.14,68,27,2,1,,,7,1,,,,,,,107,71.81,28,3,2,2,7,65,Falu
Máriahalom,521,352,348,67.56,66.79,199,121,12,,,3,11,2,,,,,,,347,66.6,108,5,11,2,10,197,Falu
Máriakálnok,1561,1140,1131,73.03,72.45,710,313,36,11,,13,48,,,,,,,,1128,72.26,304,15,38,8,64,695,Falu
Máriakéménd,408,221,215,54.17,52.7,138,58,,6,,,13,,,,,,,,221,54.17,55,1,9,2,12,124,Falu
Márianosztra,631,466,455,73.85,72.11,279,115,13,2,1,3,42,,,,,,,,454,71.95,114,3,16,1,41,279,Falu
Máriapócs,1577,1018,1000,64.55,63.41,666,218,18,11,,10,77,,,,,,,,1002,63.54,195,12,12,8,74,678,Falu
Markaz,1422,1053,1041,74.05,73.21,550,380,,8,,,80,23,,,,,,,1037,72.93,370,8,26,8,93,532,Falu
Márkháza,183,154,146,84.15,79.78,113,26,3,1,,1,2,,,,,,,,149,81.42,21,2,3,1,1,121,Falu
Márkó,1318,1039,1033,78.83,78.38,568,340,30,11,,,84,,,,,,,,1022,77.54,335,7,40,16,77,498,Falu
Markóc,45,33,33,73.33,73.33,29,3,,,,,1,,,,,,,,32,71.11,4,1,,,3,24,Falu
Markotabödöge,408,290,289,71.08,70.83,230,34,,1,,,24,,,,,,,,289,70.83,36,1,9,1,24,218,Falu
Maróc,62,38,38,61.29,61.29,23,10,,,,,5,,,,,,,,38,61.29,10,,,,5,23,Falu
Marócsa,63,47,46,74.6,73.02,41,3,,,,,1,1,,,,,,,47,74.6,5,,,,1,41,Falu
Márok,350,253,251,72.29,71.71,202,36,,2,1,,10,,,,,,,,250,71.43,30,1,1,2,6,144,Falu
Márokföld,39,37,37,94.87,94.87,19,8,3,,,,7,,,,,,,,37,94.87,8,,3,,8,18,Falu
Márokpapi,488,281,270,57.58,55.33,228,32,,,,1,9,,,,,,,,274,56.15,32,,3,,9,230,Falu
Maroslele,1660,1161,1144,69.94,68.92,747,305,19,11,1,,61,,,,,,,,1148,69.16,309,9,25,12,75,718,Falu
Mártély,1009,791,777,78.39,77.01,449,262,21,2,1,,42,,,,,,,,778,77.11,232,3,24,1,56,462,Falu
Martfű,5009,3472,3411,69.32,68.1,1343,1628,117,,11,37,275,,,,,,,,3433,68.54,1560,42,110,38,267,1416,Kisváros
Martonfa,191,152,150,79.58,78.53,70,53,,3,1,,23,,,,,,,,149,78.01,49,3,9,1,21,65,Falu
