telep,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP,teltipus
Balsa,563,376,370,66.79,65.72,250,89,,5,,2,20,4,,,,,,,372,66.07,94,2,2,2,18,254,Falu
Bálványos,472,279,278,59.11,58.9,173,85,,9,4,7,,,,,,,,,276,58.47,80,4,6,7,16,162,Falu
Bana,1269,853,846,67.22,66.67,527,271,9,9,,6,24,,,,,,,,847,66.75,251,9,9,10,31,536,Falu
Bánd,532,438,419,82.33,78.76,232,139,17,3,,,28,,,,,,,,420,78.95,124,1,16,4,33,187,Falu
Bánfa,132,79,77,59.85,58.33,52,20,1,,,,3,1,,,,,,,79,59.85,22,1,2,,2,52,Falu
Bánhorváti,1063,694,688,65.29,64.72,491,152,12,2,1,1,27,,,1,1,,,,685,64.44,171,5,15,4,36,454,Falu
Bánk,594,452,450,76.09,75.76,245,118,9,4,3,1,70,,,,,,,,452,76.09,121,1,9,3,55,254,Falu
Bánokszentgyörgy,479,303,301,63.26,62.84,209,66,2,1,1,5,17,,,,,,,,302,63.05,67,5,2,,23,205,Falu
Bánréve,935,573,569,61.28,60.86,294,205,5,4,2,1,36,22,,,,,,,564,60.32,209,5,5,3,37,305,Falu
Bár,450,309,306,68.67,68,187,77,,1,3,,38,,,,,,,,306,68,84,4,5,1,22,150,Falu
Barabás,727,427,411,58.73,56.53,294,84,,3,,3,25,,,2,,,,,412,56.67,82,2,2,2,22,302,Falu
Baracs,2909,1929,1911,66.31,65.69,924,789,46,12,,26,114,,,,,,,,1912,65.73,798,17,50,19,123,904,Falu
Baracska,2258,1551,1538,68.69,68.11,916,457,39,30,1,,95,,,,,,,,1540,68.2,480,8,48,26,98,879,Falu
Báránd,1923,1195,1181,62.14,61.41,774,310,,8,2,4,83,,,,,,,,1179,61.31,295,9,13,11,85,766,Falu
Baranyahídvég,145,85,82,58.62,56.55,72,6,,,,,3,1,,,,,,,81,55.86,7,1,,,4,69,Falu
Baranyajenő,359,193,193,53.76,53.76,132,47,7,2,,,4,1,,,,,,,192,53.48,49,,3,1,12,127,Falu
Baranyaszentgyörgy,86,63,62,73.26,72.09,54,2,3,,,,3,,,,,,,,63,73.26,1,1,4,,3,54,Falu
Barbacs,620,441,434,71.13,70,301,102,,2,,,28,,,,,1,,,438,70.65,97,2,7,5,32,295,Falu
Barcs,9888,6718,6617,67.94,66.92,3074,3164,,65,,,314,,,,,,,,6614,66.89,2712,39,174,54,367,3200,Kisváros
Bárdudvarnok,884,605,591,68.44,66.86,339,199,,15,,,38,,,,,,,,593,67.08,174,3,22,11,51,331,Falu
Barlahida,94,76,72,80.85,76.6,38,28,1,,,2,2,,,1,,,,,74,78.72,26,1,5,,1,41,Falu
Bárna,771,503,493,65.24,63.94,358,102,1,1,,3,28,,,,,,,,499,64.72,102,4,2,5,38,348,Falu
Barnag,100,78,77,78,77,56,16,2,,,,3,,,,,,,,78,78,16,,3,,3,50,Falu
Bársonyos,634,376,368,59.31,58.04,262,69,7,4,,3,23,,,,,,,,359,56.62,60,6,10,4,24,255,Falu
Basal,152,105,104,69.08,68.42,59,29,5,2,,,8,1,,,,,,,105,69.08,33,,3,1,9,59,Falu
Baskó,153,131,130,85.62,84.97,106,15,1,,2,,5,1,,,,,,,130,84.97,16,,,,3,99,Falu
Báta,1233,839,825,68.05,66.91,621,150,21,,,,33,,,,,,,,831,67.4,130,5,16,2,30,648,Falu
